剧名,剧ID,总集数（含番外）,正剧集数,总价（元）,集均价（元）
情蛊,86178,16,13,27.9,2.15
红白囍 第一季,86136,15,15,25.9,1.73
红白囍 第二季,86136,14,14,32.9,2.35
狂徒-上篇,85895,2,1,2.0,2.0
临江仙 全一季,85595,24,24,33.9,1.41
劣质奶油 全一季,85500,11,10,21.9,2.19
初三的六一儿童节 第一季,85497,20,18,39.9,2.22
藏风 第一季,85284,14,14,27.9,1.99
江医生他怀了死对头的崽 第一季,85256,15,15,26.9,1.79
江医生他怀了死对头的崽 第二季,85256,9,9,24.9,2.77
不断作死后我成了白月光 第一季,85174,15,15,19.9,1.33
我靠美颜稳住天下 第一季,85171,15,15,29.9,1.99
我靠美颜稳住天下,85171,未知,未知,19.9,0
